TEXT;Value
toshima100404;0
toshima100405;0
toshima100406;0
toshima100407;0
toshima100408;0
toshima100409;0
toshima10041;0
toshima100410;0
toshima100411;0
toshima100412;0
toshima100413;0
toshima100414;0
toshima100415;0
toshima100416;0
toshima100417;0
toshima100418;0
toshima100419;0
toshima10042;0
toshima100420;0
toshima100421;0
toshima100422;0
toshima100423;0
toshima100424;0
toshima100425;0
toshima100426;0
toshima100427;0
toshima100428;0
toshima100429;0
toshima10043;0
toshima100430;0
toshima100431;0
toshima100432;0
toshima100433;0
toshima100434;0
toshima100435;0
toshima100436;0
toshima100437;0
toshima100438;0
toshima100439;0
toshima10044;0
toshima100440;0
toshima100441;0
toshima100442;0
toshima100443;0
toshima100444;0
toshima100445;0
toshima100446;0
toshima100447;0
toshima100448;0
toshima100449;0
toshima10045;0
toshima100450;0
toshima100451;0
toshima100452;0
toshima100453;0
toshima100454;0
toshima100455;0
toshima100456;0
toshima100457;0
toshima100458;0
toshima100459;0
toshima10046;0
toshima100460;0
toshima100461;0
toshima100462;0
toshima100463;0
toshima100464;0
toshima100465;0
toshima100466;0
toshima100467;0
toshima100468;0
toshima100469;0
toshima10047;0
toshima100470;0
toshima100471;0
toshima100472;0
toshima100473;0
toshima100474;0
toshima100475;0
toshima100476;0
toshima100477;0
toshima100478;0
toshima100479;0
toshima10048;0
toshima100480;0
toshima100481;0
toshima100482;0
toshima100483;0
toshima100484;0
toshima100485;0
toshima100486;0
toshima100487;0
toshima100488;0
toshima100489;0
toshima10049;0
toshima100490;0
toshima100491;0
toshima100492;0
toshima100493;0
toshima100494;0
toshima100495;0
toshima100496;0
toshima100497;0
toshima100498;0
toshima100499;0
toshima1005;1
toshima10050;0
toshima100500;0
toshima100501;0
toshima100502;0
toshima100503;0
toshima100504;0
toshima100505;0
toshima100506;0
toshima100507;0
toshima100508;0
toshima100509;0
toshima10051;0
toshima100510;0
toshima100511;0
toshima100512;0
toshima100513;0
toshima100514;0
toshima100515;0
toshima100516;0
toshima100517;0
toshima100518;0
toshima100519;0
toshima10052;0
toshima100520;0
toshima100521;0
toshima100522;0
toshima100523;0
toshima100524;0
toshima100525;0
toshima100526;0
toshima100527;0
toshima100528;0
toshima100529;0
toshima10053;0
toshima100530;0
toshima100531;0
toshima100532;0
toshima100533;0
toshima100534;0
toshima100535;0
toshima100536;0
toshima100537;0
toshima100538;0
toshima100539;0
toshima10054;0
toshima100540;0
toshima100541;0
toshima100542;0
toshima100543;0
toshima100544;0
toshima100545;0
toshima100546;0
toshima100547;0
toshima100548;0
toshima100549;0
toshima10055;0
toshima100550;0
toshima100551;0
toshima100552;0
toshima100553;0
toshima100554;0
toshima100555;0
toshima100556;0
toshima100557;0
toshima100558;0
toshima100559;0
toshima10056;0
toshima100560;0
toshima100561;0
toshima100562;0
toshima100563;0
toshima100564;0
toshima100565;0
toshima100566;0
toshima100567;0
toshima100568;0
toshima100569;0
toshima10057;0
toshima100570;0
toshima100571;0
toshima100572;0
toshima100573;0
toshima100574;0
toshima100575;0
toshima100576;0
toshima100577;0
toshima100578;0
toshima100579;0
toshima10058;0
toshima100580;0
toshima100581;0
toshima100582;0
toshima100583;0
toshima100584;0
toshima100585;0
toshima100586;0
toshima100587;0
toshima100588;0
toshima100589;0
toshima10059;0
toshima100590;0
toshima100591;0
toshima100592;0
toshima100593;0
toshima100594;0
toshima100595;0
toshima100596;0
toshima100597;0
toshima100598;0
toshima100599;0
toshima1006;1
toshima10060;0
toshima100600;0
toshima100601;0
toshima100602;0
toshima100603;0
toshima100604;0
toshima100605;0
toshima100606;0
toshima100607;0
toshima100608;0
toshima100609;0
toshima10061;0
toshima100610;0
toshima100611;0
toshima100612;0
toshima100613;0
toshima100614;0
toshima100615;0
toshima100616;0
toshima100617;0
toshima100618;0
toshima100619;0
toshima10062;0
toshima100620;0
toshima100621;0
toshima100622;0
toshima100623;0
toshima100624;0
toshima100625;0
toshima100626;0
toshima100627;0
toshima100628;0
toshima100629;0
toshima10063;0
toshima100630;0
toshima100631;0
toshima100632;0
toshima100633;0
toshima100634;0
toshima100635;0
toshima100636;0
toshima100637;0
toshima100638;0
toshima100639;0
toshima10064;0
toshima100640;0
toshima100641;0
toshima100642;0
toshima100643;0
toshima100644;0
toshima100645;0
toshima100646;0
toshima100647;0
toshima100648;0
toshima100649;0
toshima10065;0
toshima100650;0
toshima100651;0
toshima100652;0
toshima100653;0
toshima100654;0
toshima100655;0
toshima100656;0
toshima100657;0
toshima100658;0
toshima100659;0
toshima10066;0
toshima100660;0
toshima100661;0
toshima100662;0
toshima100663;0
toshima100664;0
toshima100665;0
toshima100666;0
toshima100667;0
toshima100668;0
toshima100669;0
toshima10067;0
toshima100670;0
toshima100671;0
toshima100672;0
toshima100673;0
toshima100674;0
toshima100675;0
toshima100676;0
toshima100677;0
toshima100678;0
toshima100679;0
toshima10068;0
toshima100680;0
toshima100681;0
toshima100682;0
toshima100683;0
toshima100684;0
toshima100685;0
toshima100686;0
toshima100687;0
toshima100688;0
toshima100689;0
toshima10069;0
toshima100690;0
toshima100691;0
toshima100692;0
toshima100693;0
toshima100694;0
toshima100695;0
toshima100696;0
toshima100697;0
toshima100698;0
toshima100699;0
toshima1007;1
toshima10070;0
toshima100700;0
toshima100701;0
toshima100702;0
toshima100703;0
toshima100704;0
toshima100705;0
toshima100706;0
toshima100707;0
toshima100708;0
toshima100709;0
toshima10071;0
toshima100710;0
toshima100711;0
toshima100712;0
toshima100713;0
toshima100714;0
toshima100715;0
toshima100716;0
toshima100717;0
toshima100718;0
toshima100719;0
toshima10072;0
toshima100720;0
toshima100721;0
toshima100722;0
toshima100723;0
toshima100724;0
toshima100725;0
toshima100726;0
toshima100727;0
toshima100728;0
toshima100729;0
toshima10073;0
toshima100730;0
toshima100731;0
toshima100732;0
toshima100733;0
toshima100734;0
toshima100735;0
toshima100736;0
toshima100737;0
toshima100738;0
toshima100739;0
toshima10074;0
toshima100740;0
toshima100741;0
toshima100742;0
toshima100743;0
toshima100744;0
toshima100745;0
toshima100746;0
toshima100747;0
toshima100748;0
toshima100749;0
toshima10075;0
toshima100750;0
toshima100751;0
toshima100752;0
toshima100753;0
toshima100754;0
toshima100755;0
toshima100756;0
toshima100757;0
toshima100758;0
toshima100759;0
toshima10076;0
toshima100760;0
toshima100761;0
toshima100762;0
toshima100763;0
toshima100764;0
toshima100765;0
toshima100766;0
toshima100767;0
toshima100768;0
toshima100769;0
toshima10077;0
toshima100770;0
toshima100771;0
toshima100772;0
toshima100773;0
toshima100774;0
toshima100775;0
toshima100776;0
toshima100777;0
toshima100778;0
toshima100779;0
toshima10078;0
toshima100780;0
toshima100781;0
toshima100782;0
toshima100783;0
toshima100784;0
toshima100785;0
toshima100786;0
toshima100787;0
toshima100788;0
toshima100789;0
toshima10079;0
toshima100790;0
toshima100791;0
toshima100792;0
toshima100793;0
toshima100794;0
toshima100795;0
toshima100796;0
toshima100797;0
toshima100798;0
toshima100799;0
toshima1008;1
toshima10080;0
toshima100800;0
toshima100801;0
toshima100802;0
toshima100803;0
toshima100804;0
toshima100805;0
toshima100806;0
toshima100807;0
toshima100808;0
toshima100809;0
toshima10081;0
toshima100810;0
toshima100811;0
toshima100812;0
toshima100813;0
toshima100814;0
toshima100815;0
toshima100816;0
toshima100817;0
toshima100818;0
toshima100819;0
toshima10082;0
toshima100820;0
toshima100821;0
toshima100822;0
toshima100823;0
toshima100824;0
toshima100825;0
toshima100826;0
toshima100827;0
toshima100828;0
toshima100829;0
toshima10083;0
toshima100830;0
toshima100831;0
toshima100832;0
toshima100833;0
toshima100834;0
toshima100835;0
toshima100836;0
toshima100837;0
toshima100838;0
toshima100839;0
toshima10084;0
toshima100840;0
toshima100841;0
toshima100842;0
toshima100843;0
toshima100844;0
toshima100845;0
toshima100846;0
toshima100847;0
toshima100848;0
toshima100849;0
toshima10085;0
toshima100850;0
toshima100851;0
toshima100852;0
toshima100853;0
toshima100854;0
toshima100855;0
toshima100856;0
toshima100857;0
toshima100858;0
toshima100859;0
toshima10086;0
toshima100860;0
toshima100861;0
toshima100862;0
toshima100863;0
toshima100864;0
toshima100865;0
toshima100866;0
toshima100867;0
toshima100868;0
toshima100869;0
toshima10087;0
toshima100870;0
toshima100871;0
toshima100872;0
toshima100873;0
toshima100874;0
toshima100875;0
toshima100876;0
toshima100877;0
toshima100878;0
toshima100879;0
toshima10088;0
toshima100880;0
toshima100881;0
toshima100882;0
toshima100883;0
toshima100884;0
toshima100885;0
toshima100886;0
toshima100887;0
toshima100888;0
toshima100889;0
toshima10089;0
toshima100890;0
toshima100891;0
toshima100892;0
toshima100893;0
toshima100894;0
toshima100895;0
toshima100896;0
toshima100897;0
toshima100898;0
toshima100899;0
toshima1009;1
toshima10090;0
toshima100900;0
toshima100901;0
toshima100902;0
toshima100903;0
toshima100904;0
toshima100905;0
toshima100906;0
toshima100907;0
toshima100908;0
toshima100909;0
toshima10091;0
toshima100910;0
toshima100911;0
toshima100912;0
toshima100913;0
toshima100914;0
toshima100915;0
toshima100916;0
toshima100917;0
toshima100918;0
toshima100919;0
toshima10092;0
toshima100920;0
toshima100921;0
toshima100922;0
toshima100923;0
toshima100924;0
toshima100925;0
toshima100926;0
toshima100927;0
toshima100928;0
toshima100929;0
toshima10093;0
toshima100930;0
toshima100931;0
toshima100932;0
toshima100933;0
toshima100934;0
toshima100935;0
toshima100936;0
toshima100937;0
toshima100938;0
toshima100939;0
toshima10094;0
toshima100940;0
toshima100941;0
toshima100942;0
toshima100943;0
toshima100944;0
toshima100945;0
toshima100946;0
toshima100947;0
toshima100948;0
toshima100949;0
toshima10095;0
toshima100950;0
toshima100951;0
toshima100952;0
toshima100953;0
toshima100954;0
toshima100955;0
toshima100956;0
toshima100957;0
toshima100958;0
toshima100959;0
toshima10096;0
toshima100960;0
toshima100961;0
toshima100962;0
toshima100963;0
toshima100964;0
toshima100965;0
toshima100966;0
toshima100967;0
toshima100968;0
toshima100969;0
toshima10097;0
toshima100970;0
toshima100971;0
toshima100972;0
toshima100973;0
toshima100974;0
toshima100975;0
toshima100976;0
toshima100977;0
toshima100978;0
toshima100979;0
toshima10098;0
toshima100980;0
toshima100981;0
toshima100982;0
toshima100983;0
toshima100984;0
toshima100985;0
toshima100986;0
toshima100987;0
toshima100988;0
toshima100989;0
toshima10099;0
toshima100990;0
toshima100991;0
toshima100992;0
toshima100993;0
toshima100994;0
toshima100995;0
toshima100996;0
toshima100997;0
toshima100998;0
toshima100999;0
toshima101;1
toshima1010;1
toshima10100;0
toshima101000;0
toshima101001;0
toshima101002;0
toshima101003;0
toshima101004;0
toshima101005;0
toshima101006;0
toshima101007;0
toshima101008;0
toshima101009;0
toshima10101;0
toshima101010;0
toshima101011;0
toshima101012;0
toshima101013;0
toshima101014;0
toshima101015;0
toshima101016;0
toshima101017;0
toshima101018;0
toshima101019;0
toshima10102;0
toshima101020;0
toshima101021;0
toshima101022;0
toshima101023;0
toshima101024;0
toshima101025;0
toshima101026;0
toshima101027;0
toshima101028;0
toshima101029;0
toshima10103;0
toshima101030;0
toshima101031;0
toshima101032;0
toshima101033;0
toshima101034;0
toshima101035;0
toshima101036;0
toshima101037;0
toshima101038;0
toshima101039;0
toshima10104;0
toshima101040;0
toshima101041;0
toshima101042;0
toshima101043;0
toshima101044;0
toshima101045;0
toshima101046;0
toshima101047;0
toshima101048;0
toshima101049;0
toshima10105;0
toshima101050;0
toshima101051;0
toshima101052;0
toshima101053;0
toshima101054;0
toshima101055;0
toshima101056;0
toshima101057;0
toshima101058;0
toshima101059;0
toshima10106;0
toshima101060;0
toshima101061;0
toshima101062;0
toshima101063;0
toshima101064;0
toshima101065;0
toshima101066;0
toshima101067;0
toshima101068;0
toshima101069;0
toshima10107;0
toshima101070;0
toshima101071;0
toshima101072;0
toshima101073;0
toshima101074;0
toshima101075;0
toshima101076;0
toshima101077;0
toshima101078;0
toshima101079;0
toshima10108;0
toshima101080;0
toshima101081;0
toshima101082;0
toshima101083;0
toshima101084;0
toshima101085;0
toshima101086;0
toshima101087;0
toshima101088;0
toshima101089;0
toshima10109;0
toshima101090;0
toshima101091;0
toshima101092;0
toshima101093;0
toshima101094;0
toshima101095;0
toshima101096;0
toshima101097;0
toshima101098;0
toshima101099;0
toshima1011;1
toshima10110;0
toshima101100;0
toshima101101;0
toshima101102;0
toshima101103;0
toshima101104;0
toshima101105;0
toshima101106;0
toshima101107;0
toshima101108;0
toshima101109;0
toshima10111;0
toshima101110;0
toshima101111;0
toshima101112;0
toshima101113;0
toshima101114;0
toshima101115;0
toshima101116;0
toshima101117;0
toshima101118;0
toshima101119;0
toshima10112;0
toshima101120;0
toshima101121;0
toshima101122;0
toshima101123;0
toshima101124;0
toshima101125;0
toshima101126;0
toshima101127;0
toshima101128;0
toshima101129;0
toshima10113;0
toshima101130;0
toshima101131;0
toshima101132;0
toshima101133;0
toshima101134;0
toshima101135;0
toshima101136;0
toshima101137;0
toshima101138;0
toshima101139;0
toshima10114;0
toshima101140;0
toshima101141;0
toshima101142;0
toshima101143;0
toshima101144;0
toshima101145;0
toshima101146;0
toshima101147;0
toshima101148;0
toshima101149;0
toshima10115;0
toshima101150;0
toshima101151;0
toshima101152;0
toshima101153;0
toshima101154;0
toshima101155;0
toshima101156;0
toshima101157;0
toshima101158;0
toshima101159;0
toshima10116;0
toshima101160;0
toshima101161;0
toshima101162;0
toshima101163;0
toshima101164;0
toshima101165;0
toshima101166;0
toshima101167;0
toshima101168;0
toshima101169;0
toshima10117;0
toshima101170;0
toshima101171;0
toshima101172;0
toshima101173;0
toshima101174;0
toshima101175;0
toshima101176;0
toshima101177;0
toshima101178;0
toshima101179;0
toshima10118;0
toshima101180;0
toshima101181;0
toshima101182;0
toshima101183;0
toshima101184;0
toshima101185;0
toshima101186;0
toshima101187;0
toshima101188;0
toshima101189;0
toshima10119;0
toshima101190;0
toshima101191;0
toshima101192;0
toshima101193;0
toshima101194;0
toshima101195;0
toshima101196;0
toshima101197;0
toshima101198;0
toshima101199;0
toshima1012;1
toshima10120;0
toshima101200;0
toshima101201;0
toshima101202;0
toshima101203;0
toshima101204;0
toshima101205;0
toshima101206;0
toshima101207;0
toshima101208;0
toshima101209;0
toshima10121;0
toshima101210;0
toshima101211;0
toshima101212;0
toshima101213;0
toshima101214;0
toshima101215;0
toshima101216;0
toshima101217;0
toshima101218;0
toshima101219;0
toshima10122;0
toshima101220;0
toshima101221;0
toshima101222;0
toshima101223;0
toshima101224;0
toshima101225;0
toshima101226;0
toshima101227;0
toshima101228;0
toshima101229;0
toshima10123;0
toshima101230;0
toshima101231;0
toshima101232;0
toshima101233;0
toshima101234;0
toshima101235;0
toshima101236;0
toshima101237;0
toshima101238;0
toshima101239;0
toshima10124;0
toshima101240;0
toshima101241;0
toshima101242;0
toshima101243;0
toshima101244;0
toshima101245;0
toshima101246;0
toshima101247;0
toshima101248;0
toshima101249;0
toshima10125;0
toshima101250;0
toshima101251;0
toshima101252;0
toshima101253;0
toshima101254;0
toshima101255;0
toshima101256;0
toshima101257;0
toshima101258;0
toshima101259;0
toshima10126;0
toshima101260;0
toshima101261;0
toshima101262;0
toshima101263;0
toshima101264;0
toshima101265;0
toshima101266;0
toshima101267;0
toshima101268;0
toshima101269;0
toshima10127;0
toshima101270;0
toshima101271;0
toshima101272;0
toshima101273;0
toshima101274;0
toshima101275;0
toshima101276;0
toshima101277;0
toshima101278;0
toshima101279;0
toshima10128;0
toshima101280;0
toshima101281;0
toshima101282;0
toshima101283;0
toshima101284;0
toshima101285;0
toshima101286;0
toshima101287;0
toshima101288;0
toshima101289;0
toshima10129;0
toshima101290;0
toshima101291;0
toshima101292;0
toshima101293;0
toshima101294;0
toshima101295;0
toshima101296;0
toshima101297;0
toshima101298;0
toshima101299;0
toshima1013;1
toshima10130;0
toshima101300;0
toshima101301;0
toshima101302;0
toshima101303;0
toshima101304;0
toshima101305;0
toshima101306;0
toshima101307;0
toshima101308;0
toshima101309;0
toshima10131;0
toshima101310;0
toshima101311;0
toshima101312;0
toshima101313;0
toshima101314;0
toshima101315;0
toshima101316;0
toshima101317;0
toshima101318;0
toshima101319;0
toshima10132;0
toshima101320;0
toshima101321;0
toshima101322;0
toshima101323;0
toshima101324;0
toshima101325;0
toshima101326;0
toshima101327;0
toshima101328;0
toshima101329;0
toshima10133;0
toshima101330;0
toshima101331;0
toshima101332;0
toshima101333;0
toshima101334;0
toshima101335;0
toshima101336;0
toshima101337;0
toshima101338;0
toshima101339;0
toshima10134;0
toshima101340;0
toshima101341;0
toshima101342;0
toshima101343;0
toshima101344;0
toshima101345;0
toshima101346;0
toshima101347;0
toshima101348;0
toshima101349;0
toshima10135;0
toshima101350;0
toshima101351;0
toshima101352;0
toshima101353;0
toshima101354;0
toshima101355;0
toshima101356;0
toshima101357;0
toshima101358;0
toshima101359;0
toshima10136;0
toshima101360;0
toshima101361;0
toshima101362;0
toshima101363;0
toshima101364;0
toshima101365;0
toshima101366;0
toshima101367;0
toshima101368;0
toshima101369;0
toshima10137;0
toshima101370;0
toshima101371;0
toshima101372;0
toshima101373;0
toshima101374;0
toshima101375;0
toshima101376;0
toshima101377;0
toshima101378;0
toshima101379;0
toshima10138;0
toshima101380;0
toshima101381;0
toshima101382;0
toshima101383;0
toshima101384;0
toshima101385;0
toshima101386;0
toshima101387;0
toshima101388;0
toshima101389;0
toshima10139;0
toshima101390;0
toshima101391;0
toshima101392;0
toshima101393;0
toshima101394;0
toshima101395;0
toshima101396;0
toshima101397;0
toshima101398;0
toshima101399;0
toshima1014;1
toshima10140;0
toshima101400;0
toshima101401;0
toshima101402;0
toshima101403;0
toshima101404;0
toshima101405;0
toshima101406;0
toshima101407;0
toshima101408;0
toshima101409;0
toshima10141;0
toshima101410;0
toshima101411;0
toshima101412;0
toshima101413;0
toshima101414;0
toshima101415;0
toshima101416;0
toshima101417;0
toshima101418;0
toshima101419;0
toshima10142;0
toshima101420;0
toshima101421;0
toshima101422;0
toshima101423;0
toshima101424;0
toshima101425;0
toshima101426;0
toshima101427;0
toshima101428;0
toshima101429;0
toshima10143;0
toshima101430;0
toshima101431;0
toshima101432;0
toshima101433;0
toshima101434;0
toshima101435;0
toshima101436;0
toshima101437;0
toshima101438;0
toshima101439;0
toshima10144;0
toshima101440;0
toshima101441;0
toshima101442;0
toshima101443;0
toshima101444;0
toshima101445;0
toshima101446;0
toshima101447;0
toshima101448;0
toshima101449;0
toshima10145;0
toshima101450;0
toshima101451;0
toshima101452;0
toshima101453;0
toshima101454;0
toshima101455;0
toshima101456;0
toshima101457;0
toshima101458;0
toshima101459;0
toshima10146;0
toshima101460;0
toshima101461;0
toshima101462;0
toshima101463;0
toshima101464;0
toshima101465;0
toshima101466;0
toshima101467;0
toshima101468;0
toshima101469;0
toshima10147;0
toshima101470;0
toshima101471;0
toshima101472;0
toshima101473;0
toshima101474;0
toshima101475;0
toshima101476;0
toshima101477;0
toshima101478;0
toshima101479;0
toshima10148;0
toshima101480;0
toshima101481;0
toshima101482;0
toshima101483;0
toshima101484;0
toshima101485;0
toshima101486;0
toshima101487;0
toshima101488;0
toshima101489;0
toshima10149;0
toshima101490;0
toshima101491;0
toshima101492;0
toshima101493;0
toshima101494;0
toshima101495;0
toshima101496;0
toshima101497;0
toshima101498;0
toshima101499;0
toshima1015;1
toshima10150;0
toshima101500;0
toshima101501;0
toshima101502;0
toshima101503;0
toshima101504;0
toshima101505;0
toshima101506;0
toshima101507;0
toshima101508;0
toshima101509;0
toshima10151;0
toshima101510;0
toshima101511;0
toshima101512;0
toshima101513;0
toshima101514;0
toshima101515;0
toshima101516;0
toshima101517;0
toshima101518;0
toshima101519;0
toshima10152;0
toshima101520;0
toshima101521;0
toshima101522;0
toshima101523;0
toshima101524;0
toshima101525;0
toshima101526;0
toshima101527;0
toshima101528;0
toshima101529;0
toshima10153;0
toshima101530;0
toshima101531;0
toshima101532;0
toshima101533;0
toshima101534;0
toshima101535;0
toshima101536;0
toshima101537;0
toshima101538;0
toshima101539;0
toshima10154;0
toshima101540;0
toshima101541;0
toshima101542;0
toshima101543;0
toshima101544;0
toshima101545;0
toshima101546;0
toshima101547;0
toshima101548;0
toshima101549;0
toshima10155;0
toshima101550;0
toshima101551;0
toshima101552;0
toshima101553;0
toshima101554;0
toshima101555;0
toshima101556;0
toshima101557;0
toshima101558;0
toshima101559;0
toshima10156;0
toshima101560;0
toshima101561;0
toshima101562;0
toshima101563;0
toshima101564;0
toshima101565;0
toshima101566;0
toshima101567;0
toshima101568;0
toshima101569;0
toshima10157;0
